sku,velocity_7d,velocity_30d,last_restock_date
DRINK-COLA-12OZ,12,48,2026-02-15
DRINK-WATER-16OZ,14,56,2026-02-10
SNACK-CHIP-1OZ,6,22,2026-02-28
DRINK-ENERGY-8OZ,8,32,2026-02-20
SNACK-BAR-PROT,4,14,2026-02-25
DRINK-JUICE-12OZ,5,18,2026-03-01
SNACK-CRACKER-2OZ,9,36,2026-02-18
DRINK-TEA-16OZ,7,26,2026-02-22
SNACK-CANDY-15OZ,10,42,2026-02-19
DRINK-SPORT-20OZ,11,44,2026-02-16
SNACK-NUT-1OZ,3,10,2026-03-05
DRINK-SODA-DIET-12OZ,4,15,2026-03-02
SNACK-POPCORN-1OZ,5,20,2026-02-27
DRINK-LEMONADE-12OZ,8,30,2026-02-17
SNACK-PRETZEL-1OZ,2,7,2026-03-08
DRINK-COFFEE-8OZ,13,52,2026-02-14
SNACK-FRUIT-2OZ,3,11,2026-02-26
DRINK-WATER-SPARKLING-16OZ,4,14,2026-03-04
SNACK-RICE-CAKE-1OZ,6,22,2026-02-24
DRINK-KOMBUCHA-12OZ,7,28,2026-02-12
